timestamp	accel_x	accel_y	accel_z	accel_mag	temperature	mag_x	mag_y	mag_z	azimuth	pitch	roll
1448090681975	-0.215301513671875	9.867462158203125	2.028900146484375	-6.3888433101498245	0	-8.1588745	-26.818848	-26.638794	24.063965	-78.47005	-1.1934006
1448090682015	-0.198638916015625	9.869842529296875	2.013427734375	-6.38832099622394	0	-8.399963	-26.998901	-26.638794	24.063965	-78.47005	-1.1934006
1448090682055	-0.210540771484375	9.8829345703125	2.038421630859375	-6.384493130002001	0	-8.21991	-27.2995	-26.939392	24.064117	-78.46829	-1.1927105
1448090682096	-0.217681884765625	9.86151123046875	2.026519775390625	-6.390410731078596	0	-8.459473	-27.418518	-26.939392	24.071472	-78.46708	-1.1978095
1448090682136	-0.18792724609375	9.893646240234375	1.993194580078125	-6.38623253813004	0	-8.639526	-26.818848	-27.119446	24.065033	-78.47228	-1.1952571
1448090682176	-0.2093505859375	9.8876953125	2.02532958984375	-6.385536668752499	0	-8.81958	-26.45874	-26.579285	24.065796	-78.469536	-1.194585
1448090682216	-0.185546875	9.879364013671875	2.00152587890625	-6.3867545330851385	0	-9.118652	-26.638794	-26.278687	24.061829	-78.472	-1.1926721
1448090682257	-0.176025390625	9.88531494140625	2.032470703125	-6.379974801075225	0	-8.879089	-26.638794	-25.85907	24.063324	-78.46477	-1.1904689
1448090682297	-0.20458984375	9.89007568359375	2.019378662109375	-6.385362723523384	0	-8.879089	-26.818848	-25.738525	24.065063	-78.464485	-1.1916825
1448090682337	-0.1903076171875	9.88055419921875	2.007476806640625	-6.386406527596446	0	-8.758545	-27.2995	-25.91858	24.054993	-78.4653	-1.1843059
1448090682377	-0.20697021484375	9.888885498046875	2.02294921875	-6.385362723523384	0	-8.639526	-27.359009	-25.738525	24.058014	-78.461754	-1.1849899
1448090682417	-0.193878173828125	9.872222900390625	2.016998291015625	-6.3867545330851385	0	-8.758545	-27.539063	-26.159668	24.057465	-78.46197	-1.1846578
1448090682458	-0.203399658203125	9.897216796875	2.002716064453125	-6.386580525914362	0	-8.639526	-27.598572	-26.039124	24.053406	-78.46815	-1.1844025
1448090682498	-0.201019287109375	9.888885498046875	2.021759033203125	-6.384667031027547	0	-8.758545	-27.539063	-25.979614	24.053955	-78.46687	-1.1842419
1448090682538	-0.22125244140625	9.879364013671875	1.9991455078125	-6.392327444963111	0	-8.578491	-26.939392	-26.098633	24.056519	-78.47169	-1.1884271
1448090682578	-0.217681884765625	9.867462158203125	2.02056884765625	-6.390410731078596	0	-8.399963	-26.879883	-26.339722	24.061523	-78.46993	-1.19148
